1,172,Yoakley Way,Memphis,Malawi
2,172,Byland  Tunnel,Chicago,Saint Vincent and the Grenadines
3,49,Angrave    Way,Indianapolis,Kuwait
4,137,Bush  Rue,Oakland,Gabon
5,116,Berriman  Drive,Pittsburgh,Costa Rica
6,113,Coleman  Way,Milwaukee,Poland
7,151,Magnolia Crossroad,Springfield,"Congo, Republic of the"
8,144,Victoria  Street,San Diego,Iceland
9,150,Abourne   Crossroad,St. Louis,Slovakia
10,126,Kimberley  Pass,Chicago,Antigua and Barbuda
11,187,Collins  Rue,Fremont,Ireland
12,148,Oxford Drive,Dallas,Tajikistan
13,100,Magnolia Tunnel,Jacksonville,Liberia
14,65,Bliss  Street,Saint Paul,Mauritius
15,4,Carolina  Vale,Worcester,Thailand
16,187,Capeners  Rue,Tallahassee,Kuwait
17,133,Durham Vale,Philadelphia,Belarus
18,82,Boldero   Street,Lancaster,Turkmenistan
19,113,Glenwood Hill,Wien,Dominica
20,41,Andrews  Alley,Berlin,Saudi Arabia
21,132,Linda   Vale,Albuquerque,Saint Vincent and the Grenadines
22,63,Meadow Alley,Oakland,Cambodia
23,99,Lake Rue,Sacramento,Namibia
24,173,Western   Route,Quebec,Malta
25,13,Camden  Hill,Chicago,Equatorial Guinea
26,63,Cavell   Alley,Venice,Zambia
27,106,Black Friars   Pass,Rochester,Lesotho
28,191,Victoria Rise Lane,Cincinnati,Kyrgyzstan
29,39,Waite  Avenue,Los Angeles,Kosovo
30,18,Chatsworth  Lane,Innsbruck,Belarus
31,162,Adams  Alley,Amarillo,Norway
32,179,Arctic   Rue,Rome,Namibia
33,50,Chamberlain  Vale,Bucharest,Germany
34,71,Buttonwood Avenue,Long Beach,Ukraine
35,75,Fairfield  Rue,Omaha,Czech Republic
36,177,Burton  Crossroad,Lakewood,Uruguay
37,61,Linden Crossroad,Paris,Swaziland
38,100,Endsleigh  Walk,Laredo,Sudan
39,165,Woodland Route,Honolulu,Chile
40,9,Catherine  Avenue,San Jose,Montenegro
41,75,Cavendish Hill,Seattle,Liberia
42,68,Charnwood   Hill,Laredo,Iceland
43,123,Vincent  Walk,Charlotte,Netherlands
44,17,Kingly  Drive,Bakersfield,Estonia
45,61,Queen Boulevard,Berlin,India
46,108,Cavell   Pass,Seattle,Mexico
47,167,Bicknell  Grove,Lancaster,Italy
48,158,Dunton  Grove,Baltimore,Senegal
49,25,Bagford   Rue,Tokyo,Ireland
50,106,Endsleigh  Avenue,Seattle,Bosnia and Herzegovina
51,144,Sherlock   Route,San Diego,Monaco
52,96,Dunstable   Rue,Washington,Togo
53,54,Geary   Vale,Berna,Benin
54,166,Aspen Vale,Otawa,Mexico
55,96,Tisbury  Vale,Tulsa,Zambia
56,158,Chartham  Tunnel,Bakersfield,Eritrea
57,98,Carlton  Route,Arlington,Bahrain
58,146,Western   Lane,Irving,Japan
59,121,Lincoln Vale,Fullerton,Iraq
60,102,Glenwood Street,Moreno Valley,Malta
61,136,Thomas Doyle   Walk,Dallas,Panama
62,172,Timber   Crossroad,Detroit,Central African Republic
63,48,Eldon  Hill,San Antonio,Vatican City
64,137,Clerkenwell Lane,Indianapolis,Madagascar
65,87,Becher  Avenue,Venice,Micronesia
66,108,Spruce Street,Memphis,Azerbaijan
67,88,Dunsley  Avenue,Henderson,Kenya
68,124,Black Swan  Pass,Dallas,Guatemala
69,154,St. Johs  Road,Murfreesboro,Comoros
70,139,Anns  Boulevard,Columbus,South Africa
71,57,Chester  Walk,Rochester,Belize
72,144,Apothecary   Crossroad,Murfreesboro,Djibouti
73,28,Camden  Way,Dallas,Zambia
74,41,Anns  Grove,Hollywood,Mexico
75,178,Vintners  Tunnel,Garland,Samoa
76,177,Beaconsfield  Drive,Berna,Myanmar
77,31,West Hill,Sacramento,Thailand
78,197,Belmore  Boulevard,Scottsdale,Bosnia and Herzegovina
79,51,Canal  Tunnel,Omaha,Bahrain
80,1,Timber   Route,Baltimore,Benin
81,63,Blackpool  Boulevard,El Paso,Poland
82,164,Addison  Avenue,San Jose,Cameroon
83,159,Adelaide  Route,Bakersfield,Moldova
84,150,Westbourne Lane,Los Angeles,Uzbekistan
85,189,Caedmon  Crossroad,El Paso,Dominican Republic
86,186,Baylis  Rue,Garland,Sierra Leone
87,186,Enford   Street,Richmond,Turkmenistan
88,42,Endsleigh  Rue,Fullerton,Egypt
89,158,Bicknell  Drive,Amarillo,"Korea, North"
90,176,Parkgate  Vale,Dallas,Zimbabwe
91,163,Dutton   Rue,Ontario,Vatican City
92,54,Sherlock   Grove,Valetta,Czech Republic
93,118,Vine  Street,Lancaster,Burkina Faso
94,52,Westbourne Tunnel,Hollywood,Zambia
95,141,South Drive,Dallas,Indonesia
96,31,Railroad Lane,Worcester,Luxembourg
97,74,Cavaye  Road,Lincoln,Lithuania
98,180,Bennett  Alley,Baltimore,Uganda
99,21,Hickory   Tunnel,Paris,Comoros
100,58,Caldwell   Boulevard,Albuquerque,Cuba
101,139,Lincoln Vale,Huntsville,Turkey
102,67,Coborn  Road,Richmond,Chile
103,34,Addison  Lane,Hayward,Croatia
104,100,Colombo   Vale,Bridgeport,Mozambique
105,78,Carltoun   Grove,Richmond,Afghanistan
106,24,Biggerstaff   Walk,Fort Lauderdale,Belgium
107,110,Tiptree   Rue,Rome,Mali
108,11,Caxton  Vale,Atlanta,Dominica
109,169,Armory  Drive,Lancaster,France
110,182,Chesterfield  Avenue,Colorado Springs,Bahrain
111,170,St. Pauls  Rue,Louisville,Philippines
112,123,Thomas Doyle   Road,Long Beach,Myanmar
113,29,Belmore  Lane,Murfreesboro,Laos
114,80,Cleveland  Route,Huntsville,Germany
115,113,Emily  Way,Lisbon,East Timor (Timor-Leste)
116,109,Berriman  Crossroad,Milano,Portugal
117,86,Kilner   Road,Fort Lauderdale,Sierra Leone
118,15,Eaglet  Tunnel,Lakewood,Argentina
119,36,Cliff  Walk,Toledo,China
120,117,Canal  Grove,Las Vegas,Mauritius
121,80,Emily  Hill,Berna,Haiti
122,106,Amwell    Rue,Miami,Bosnia and Herzegovina
123,98,Oxford Avenue,Bridgeport,Kuwait
124,86,Balfe   Pass,Los Angeles,Madagascar
125,61,Chartham  Avenue,Bridgeport,Botswana
126,126,Bayberry Hill,New Orleans,Armenia
127,118,Blue Anchor  Crossroad,Salem,Iraq
128,23,Byland  Hill,Otawa,Zimbabwe
129,46,Camelot   Walk,Jacksonville,Sierra Leone
130,29,Blackheath   Vale,Bakersfield,Cuba
131,66,Camberwell  Rue,Valetta,Qatar
132,31,Pine Lane,Escondido,Nepal
133,1,East Vale,Ontario,Cyprus
134,161,Sheffield Tunnel,San Francisco,Ukraine
135,51,Sundown Road,Chicago,Pakistan
136,176,Blackheath   Pass,Philadelphia,Norway
137,42,Charnwood   Grove,Milano,India
138,78,York Grove,Tallahassee,Switzerland
139,59,Badric  Tunnel,New York,Guyana
140,185,Underwood  Pass,Memphis,Somalia
141,194,Black Friars   Walk,Salem,Niger
142,127,Coal Wharf  Street,Fayetteville,Seychelles
143,147,Cavaye  Road,Tallahassee,Luxembourg
144,126,Billing  Way,Milwaukee,Singapore
145,165,Linda   Road,Innsbruck,Israel
146,196,Arbutus   Vale,Jersey City,Slovenia
147,115,Belfort  Avenue,El Paso,Venezuela
148,13,Ampton  Street,Otawa,Slovenia
149,49,Balfour    Route,Boston,Tuvalu
150,41,Chartham  Drive,Nashville,Kosovo
151,13,Beatty  Pass,Denver,Saint Vincent and the Grenadines
152,52,Yoakley Hill,Sacramento,Libya
153,44,Abbey   Drive,Sacramento,Solomon Islands
154,11,Geary   Vale,Innsbruck,Netherlands
155,8,Chatfield  Lane,Anaheim,Ukraine
156,14,Sundown Walk,Detroit,Bhutan
157,148,Arbutus   Crossroad,Dallas,Pakistan
158,181,Bliss  Boulevard,Prague,Czech Republic
159,185,Oxford Hill,Honolulu,Canada
160,50,Cephas  Pass,Reno,Suriname
161,118,Sheringham   Pass,Santa Ana,Bangladesh
162,84,Collent   Alley,Tallahassee,Djibouti
163,190,Collins  Rue,Garland,Malawi
164,160,Coal Wharf  Boulevard,Washington,Kazakhstan
165,18,Chelsea Manor  Route,Orlando,South Africa
166,0,Cavaye  Road,Berna,Costa Rica
167,57,Hammersmith  Alley,Murfreesboro,Czech Republic
168,130,Virginia Road,Fayetteville,Latvia
169,35,Wadham  Road,Sacramento,Kenya
170,117,King Edward  Tunnel,Portland,Liechtenstein
171,21,Bocking   Route,Fort Lauderdale,San Marino
172,60,Castlereagh   Tunnel,Rochester,Madagascar
173,67,Castlereagh   Way,Sacramento,Samoa
174,73,Bales  Street,Murfreesboro,Slovakia
175,29,Eaglet  Tunnel,Louisville,Slovenia
176,42,Central  Pass,Dallas,Bahrain
177,134,Chancellor  Street,Wien,Cyprus
178,168,Elizabeth  Drive,Escondido,Dominican Republic
179,192,Apothecary   Crossroad,Atlanta,Tanzania
180,98,Canon Route,Lakewood,Russia
181,65,Carpenter Pass,Louisville,Colombia
182,3,Blean   Drive,Cincinnati,Vietnam
183,12,Bective  Rue,Rochester,Mali
184,102,Fairfield  Hill,Richmond,Monaco
185,38,Blackwall  Lane,Tokyo,Kyrgyzstan
186,156,Epworth  Walk,Glendale,Latvia
187,195,Spruce Crossroad,Rochester,Hungary
188,105,Bolingbroke  Walk,Portland,Solomon Islands
189,133,Dunstable   Street,Memphis,Slovakia
190,5,Kilner   Rue,Lancaster,Malawi
191,4,Blendon    Street,Charlotte,Mauritius
192,3,Central  Pass,Las Vegas,Tonga
193,157,Rivervalley Vale,Hayward,Cuba
194,41,Birkin   Grove,Murfreesboro,Mongolia
195,88,Bendall   Pass,Irving,Argentina
196,0,Battersea   Rue,Fremont,Myanmar
197,13,Viscount   Vale,Jacksonville,Austria
198,65,Clere  Drive,Huntsville,Lebanon
199,57,Bury  Crossroad,London,Barbados
200,51,Dunsley  Route,Boston,Azerbaijan
201,192,Bales  Vale,Innsbruck,Panama
202,70,Falconberg   Hill,Dallas,Mauritius
203,186,Bekesbourne   Alley,Tulsa,Liberia
204,46,Baltic  Route,Huntsville,Uzbekistan
205,117,Chicksand  Hill,San Bernardino,Djibouti
206,16,Amwell    Route,Fullerton,Vietnam
207,193,Bingham   Grove,Springfield,Taiwan
208,161,Argyle  Lane,Richmond,Belize
209,87,Coborn  Boulevard,Irving,Mexico
210,139,Geffrye   Tunnel,Bucharest,Dominican Republic
211,0,Mariner  Avenue,Milano,Costa Rica
212,169,Longleigh   Boulevard,Bellevue,Rwanda
213,100,Rosewood Way,Anaheim,Benin
214,50,Carpenter Rue,Toledo,Tanzania
215,166,Virgil   Street,Madrid,Iraq
216,106,Cecilia  Crossroad,Fort Lauderdale,Liechtenstein
217,160,Blomfield  Route,Milano,El Salvador
218,63,Parkfields Drive,San Antonio,Costa Rica
219,16,Sherlock   Pass,Anaheim,Fiji
220,186,Dunstans  Rue,London,Dominican Republic
221,111,Cockspur  Street,Louisville,Belgium
222,132,Camelot   Alley,Boston,Saudi Arabia
223,7,Tisbury  Vale,Colorado Springs,Nauru
224,186,Chicksand  Alley,Columbus,Somalia
225,9,Dunstable   Crossroad,Chicago,Tajikistan
226,145,Carnegie   Way,San Francisco,Vatican City
227,16,St. Jamess  Avenue,Sacramento,Namibia
228,34,West Drive,San Bernardino,Burundi
229,177,Chestnut  Pass,Cincinnati,Tanzania
230,43,Bective  Drive,Honolulu,Algeria
231,163,Camdale  Alley,San Jose,Sudan
232,73,Carol   Rue,Charlotte,Paraguay
233,13,Caslon   Pass,San Bernardino,Bahrain
234,182,Fairview Avenue,Venice,Senegal
235,108,Queensberry  Tunnel,Innsbruck,Georgia
236,186,Monroe Alley,New York,Argentina
237,158,Carolina  Pass,Memphis,Rwanda
238,148,Caedmon  Alley,Innsbruck,Russia
239,76,Castlereagh   Alley,Venice,Benin
240,12,East Lane,Cincinnati,Brunei
241,169,Udall   Road,Long Beach,Senegal
242,136,Carltoun   Crossroad,Nashville,Solomon Islands
243,186,Unwin  Walk,Dallas,Singapore
244,89,Angel  Grove,Washington,Mauritius
245,173,Burton  Tunnel,Milano,Andorra
246,171,King Boulevard,Venice,Sri Lanka
247,107,Lonsdale  Route,Innsbruck,Sudan
248,71,Victorian  Route,Oakland,"Congo, Republic of the"
249,132,Parkfields Walk,Prague,Iran
250,141,Gatonby   Grove,Glendale,Togo
251,189,Cingworth  Hill,Orlando,Nepal
252,114,Linden Avenue,Richmond,Barbados
253,121,Berry  Lane,Escondido,Qatar
254,77,Geffrye   Hill,Boston,Malaysia
255,168,Aspen Pass,Madison,Afghanistan
256,132,Gautrey  Avenue,Las Vegas,Dominican Republic
257,194,Liverpool  Avenue,Salt Lake City,Djibouti
258,122,Thomas  Lane,Indianapolis,Grenada
259,38,Carltoun   Street,Quebec,Guyana
260,178,Sundown Avenue,Santa Ana,Guatemala
261,85,Emily  Street,Fayetteville,Bahrain
262,43,Linden Alley,Philadelphia,Maldives
