1,Adelaide_Wright98@jiman.org,2599,27,1,1,,
2,Adelaide_Wright98@jiman.org,5336,191,,-1,,
3,Adelaide_Wright98@jiman.org,2532,97,,-1,,
5,Mya_Grey41@corti.com,3772,584,2,2,2021-05-06 18:07:41,
6,Mya_Grey41@corti.com,854,365,2,2,2021-05-06 18:08:10,
7,Mya_Grey41@corti.com,4876,219,2,1,,
8,Mya_Grey41@corti.com,1473,44,2,3,2021-05-06 18:08:22,2021-05-06 18:08:23
9,Mya_Grey41@corti.com,1639,136,2,4,2021-05-06 18:08:22,2021-05-06 18:08:23
10,Mya_Grey41@corti.com,5277,120,2,4,2021-05-06 18:08:22,2021-05-06 18:08:23
11,Mya_Grey41@corti.com,5948,166,2,1,,
12,Mya_Grey41@corti.com,847,89,3,0,,
13,Mya_Grey41@corti.com,118,207,,-1,,
15,Martha_Baker176@muall.tech,4767,31,4,4,2021-05-06 18:08:21,2021-05-06 18:08:23
16,Martha_Baker176@muall.tech,525,67,5,0,,
17,Martha_Baker176@muall.tech,5209,11,6,1,,
18,Martha_Baker176@muall.tech,2378,75,6,2,2021-05-06 18:08:18,
19,Martha_Baker176@muall.tech,2850,21,7,2,2021-05-06 18:08:12,
20,Martha_Baker176@muall.tech,5213,520,7,3,2021-05-06 18:08:23,2021-05-06 18:08:23
21,Martha_Baker176@muall.tech,3541,244,7,2,2021-05-06 18:08:15,
22,Martha_Baker176@muall.tech,4365,263,,-1,,
23,Martha_Baker176@muall.tech,481,186,,-1,,
24,Martha_Baker176@muall.tech,5202,79,7,0,,
25,Martha_Baker176@muall.tech,992,44,7,2,2021-05-06 18:08:21,
26,Martha_Baker176@muall.tech,4071,336,7,0,,
27,Martha_Baker176@muall.tech,4662,305,7,2,2021-05-06 18:08:16,
28,Martha_Baker176@muall.tech,3827,491,7,3,2021-05-06 18:08:23,2021-05-06 18:08:23
31,Keira_Briggs173@brety.org,5744,75,9,4,2021-05-06 18:08:12,2021-05-06 18:08:17
32,Keira_Briggs173@brety.org,4982,453,9,2,2021-05-06 18:08:22,
33,Keira_Briggs173@brety.org,3445,433,9,0,,
34,Keira_Briggs173@brety.org,3267,24,9,4,2021-05-06 18:08:12,2021-05-06 18:08:15
35,Keira_Briggs173@brety.org,2085,29,9,1,,
36,Keira_Briggs173@brety.org,2760,86,9,1,,
37,Keira_Briggs173@brety.org,1631,52,10,4,2021-05-06 18:08:13,2021-05-06 18:08:20
38,Keira_Briggs173@brety.org,1045,42,10,0,,
40,Jack_Olson114@iatim.tech,2614,97,11,4,2021-05-06 18:08:22,2021-05-06 18:08:23
41,Jack_Olson114@iatim.tech,1398,228,11,2,2021-05-06 18:08:17,
42,Jack_Olson114@iatim.tech,3872,87,11,0,,
44,Enoch_Strong139@tonsy.org,3460,64,12,1,,
45,Enoch_Strong139@tonsy.org,4923,46,12,4,2021-05-06 18:08:23,2021-05-06 18:08:23
46,Enoch_Strong139@tonsy.org,490,98,12,0,,
47,Enoch_Strong139@tonsy.org,3014,147,12,2,2021-05-06 18:08:14,
49,Grace_Watson27@famism.biz,1679,156,13,3,2021-05-06 18:08:22,2021-05-06 18:08:22
50,Grace_Watson27@famism.biz,6001,32,13,3,2021-05-06 18:08:22,2021-05-06 18:08:23
51,Grace_Watson27@famism.biz,3703,194,13,0,,
52,Grace_Watson27@famism.biz,723,538,13,1,,
53,Grace_Watson27@famism.biz,4643,5,13,2,2021-05-06 18:08:20,
54,Grace_Watson27@famism.biz,5051,2,13,4,2021-05-06 18:08:22,2021-05-06 18:08:22
55,Grace_Watson27@famism.biz,1060,47,13,3,2021-05-06 18:08:22,2021-05-06 18:08:23
56,Grace_Watson27@famism.biz,1335,6,13,0,,
57,Grace_Watson27@famism.biz,2180,97,13,0,,
59,Peter_Cassidy106@sveldo.biz,3640,68,14,3,2021-05-06 18:08:10,2021-05-06 18:08:13
60,Peter_Cassidy106@sveldo.biz,3567,47,14,2,2021-05-06 18:08:23,
61,Peter_Cassidy106@sveldo.biz,3816,45,14,0,,
62,Peter_Cassidy106@sveldo.biz,2961,624,14,0,,
63,Peter_Cassidy106@sveldo.biz,3511,63,14,4,2021-05-06 18:08:10,2021-05-06 18:08:13
65,Erick_Steer30@kideod.biz,2700,178,15,0,,
66,Erick_Steer30@kideod.biz,2946,655,15,1,,
68,Harvey_Patel106@famism.biz,2840,90,17,0,,
69,Harvey_Patel106@famism.biz,3904,6,17,2,2021-05-06 18:08:23,
