1,lavonne_dalton@outlook.com,3,2,1,1,,
2,lavonne_dalton@outlook.com,10,1,1,1,,
3,cheree_fletcher@aol.com,2,2,,-1,,
4,cheree_fletcher@aol.com,3,1,,-1,,
5,camie_nicol@hotmail.com,16,10,2,2,2021-02-13,
6,markita_rhodes@zohomail.com,11,5,3,3,2021-03-10,2021-03-24
7,millard_little@protonmail.com,20,1,4,4,2021-04-15,2021-04-20
8,millard_little@protonmail.com,20,1,5,0,,
9,rebeca_grey@outlook.com,28,10,,-1,,
10,rebeca_grey@outlook.com,29,10,,-1,,
11,noel_hagan@yahoo.com,17,2,6,4,2021-04-20,2021-04-25
12,noel_hagan@yahoo.com,27,1,6,4,2021-04-20,2021-04-25
13,noel_hagan@yahoo.com,25,5,6,4,2021-04-20,2021-04-25
14,brady_jacobs@mail.com,25,2,7,1,,
15,brady_jacobs@mail.com,16,5,7,1,,
16,brady_jacobs@mail.com,19,1,7,1,,
17,kevin_lees@zohomail.com,1,20,8,0,,
18,alina_yates@gmail.com,8,5,9,4,2021-05-01,2021-05-08
19,alina_yates@gmail.com,16,10,9,4,2021-05-01,2021-05-08
20,markita_rhodes@zohomail.com,32,5,3,2,2021-03-10,
21,camie_nicol@hotmail.com,31,2,2,3,2021-02-13,2021-02-16
22,lauren_moss@aol.com,28,2,10,3,2021-03-16,2021-03-20
23,lauren_moss@aol.com,25,1,10,3,2021-03-16,2021-03-20
24,lauren_moss@aol.com,18,1,10,3,2021-03-16,2021-03-21
25,dovie_swan@mail.com,17,2,11,3,2021-03-18,2021-03-22
26,dovie_swan@mail.com,18,2,11,3,2021-03-18,2021-03-22
27,dovie_swan@mail.com,26,1,11,3,2021-03-18,2021-03-22
