1,lavonne_dalton@outlook.com,2021-02-13,1,1,false,true
2,camie_nicol@hotmail.com,2021-01-10,7,,true,true
3,markita_rhodes@zohomail.com,2021-02-15,8,8,false,true
4,millard_little@protonmail.com,2021-04-10,9,9,false,true
5,millard_little@protonmail.com,2021-04-25,9,9,false,false
6,noel_hagan@yahoo.com,2021-04-19,11,,true,true
7,brady_jacobs@mail.com,2021-05-01,12,12,false,true
8,kevin_lees@zohomail.com,2021-01-13,13,,false,false
9,alina_yates@gmail.com,2021-04-27,16,15,true,true
10,lauren_moss@aol.com,2021-03-16,15,15,true,true
11,dovie_swan@mail.com,2021-03-18,13,13,true,true
